"3D Secure CAVV","3D Secure CAVV"
"3D Secure Card Validation","3D Secure Card валидация"
"3D Secure Cardholder Validation","3D Secure валидация на картодържател"
"3D Secure Electronic Commerce Indicator","3D Secure индикатор за електронна търговия"
"3D Secure Verification Result","3D Secure резултат от валидация"
"3D Secure XID","3D Secure XID"
"Card Issuer Liability","Банкови задължения"
"Card Verification","Валидация на карта"
"Enrolled","Enrolled"
"Enrolled but Authentication Unavailable","Прието, но с неналична оторизацията"
"Failed","Неуспешно"
"MasterCard SecureCode","MasterCard код за сигурност"
"Merchant Liability","Оценка на търговец"
"Not Enrolled","Неприето"
"Order cannot be placed.","Поръчката не може да бъде извършена."
"Payment information error. Please start over.","Грешна информация за разплащане. Моля, започнете от начало."
"Please continue with placing order.","Моля, продължете с поръчката."
"Please verify the card with the issuer bank before placing the order.","Моля, изискайте потвърждение на вашата карта от банката-издател преди да направите поръчка"
"Please verify the card with the issuer bank:","Моля, изискайте потвърждение на вашата карта от банката-издател:"
"Start/Reset Validation...","Стартиране/Промяна на валидация..."
"Successful","Успешно"
"Successful attempt","Успешен опит"
"The card has failed verification with the issuer bank.","Картата не успя да премине потвърждение от банката-издател.."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Изпратена е грешна информация за плащане или е надхвърлен лимита на време за изпълнение. Моля, опитайте отново."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Изпратена е грешна информация за плащане или е надхвърлен лимита на време за изпълнение. Моля, опитайте отново."
"This card has failed validation and cannot be used.","Тази карта не премина успешно валидация и не може да се използва.."
"To ensure the security of your transactions","За подсигуряване защитата на вашите транзакции"
"Unable to complete","Завършването невъзможно"
"Validation failed.","Валидацията неуспешна."
"Verification Failed","Потвърждението неуспешно"
"Verification Successful","Потвърждението успешно"
"Verification cannot be processed","Потвърждението не може да бъде извършено"
"Verified by Visa","Потвърдено от Visa"
