"A block identifier with the same properties already exists in the selected store.","Идентификатор на блок със същите свойства вече съществува в избрания магазин."
"A directory with the same name already exists. Please try another folder name.","Директория със същото име вече съществува. Моля опитайте отново с друго име."
"A page URL key for specified store already exists.","Същия URL ключ за страница за избрания магазин вече съществува."
"Action","Действие"
"Add New Block","Добави нов блок"
"Add New Page","Добави нова страница"
"All Countries","Всички държави"
"An error occurred while saving the page.","Възникна грешка при записването на страницата"
"Anchor Custom Text","Нов текст за връзка"
"Anchor Custom Title","Ново заглавие за връзка"
"Are you sure you want to delete current folder?","Сигурен ли сте, че искате да изтриете текущата папка?"
"Are you sure you want to delete the selected file?","Сигурен ли сте, че искате да изтриете текущата папка?"
"Block","Блок"
"Block Information","Информация за блок"
"Block Title","Заглавие на блока"
"CMS","CMS"
"CMS Content Wrapper","CMS Content Wrapper"
"CMS Home Page","CMS Начална страница"
"CMS No Cookies Page","CMS страница без Cookies"
"CMS No Route Page","CMS страница без маршрут"
"CMS No-Route Page","CMS страница без маршрут"
"CMS Page","CMS Страница"
"CMS Page Link","Линк на CMS страница"
"CMS Page Link Block Template","Блок шаблон на линк на CMS страница"
"CMS Page Link Inline Template","Вграден шаблон на линк на CMS страница"
"CMS Pages (All)","CMS страници (Всички)"
"CMS Static Block","Статичен CMS блок"
"CMS Static Block Default Template","Шаблон по подразбиране на статичен CMS блок"
"Cannot create new directory.","Невъзможно е създаването на нова директория."
"Cannot delete directory %s.","Невъзможно е изтриването на директория %s."
"Cannot delete root directory %s.","Невъзможно е изтриването на главна директория %s."
"Cannot upload file.","Невъзможно е качването на файл."
"Collapse All","Затвори всичко"
"Content","Съдържание"
"Content Heading","Заглавно съдържание"
"Content Management","Управление на съдържанието"
"Contents of a Static Block","Съдържание на статичен блок"
"Create Folder...","Създай папка..."
"Custom Design","Дизайн по избор"
"Custom Design From","Дизайн по избор от"
"Custom Design To","Дизайн по избор до"
"Custom Layout","Оформление по избор"
"Custom Layout Update XML","XML за актуализиране на оформление по избор"
"Custom Theme","Тема по избор"
"Customer Tax Class Information","Информация за данъчен клас на клиент"
"Date Created","Дата на създаване"
"Delete Block","Изтрий блок"
"Delete File","Изтрий файл"
"Delete Folder","Изтрий папка"
"Delete Page","Изтрий страница"
"Description","Описание"
"Design","Дизайн"
"Disabled","Неактивно"
"Disabled Completely","Изцяло неактивно"
"Disabled by Default","Неактивно по подразбиране"
"Edit Block","Редактирай блок"
"Edit Block '%s'","Редакция на блок '%s'"
"Edit Page","Редактирай страница"
"Edit Page '%s'","Редакция на страница '%s'"
"Enable WYSIWYG Editor","Активирай WYSIWYG редактор"
"Enabled","Активиран"
"Enabled by Default","Активно по подразбиране"
"Expand All","Отвори всичко"
"General Information","Основна информация"
"Go to Home Page","Към начална страница"
"Home","Начало"
"ID","ID"
"Identifier","Идентификатор"
"If empty, the Page Title will be used","Ако е празно, ще бъде използвано заглавието на страницата"
"Images (%s)","Изображения (%s)"
"Insert File","Вмъкни файл"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Невалидно име на папка. Моля, използвайте само букви и цифри, долни черти и тирета."
"Keywords","Ключови думи"
"Last Modified","Последно променено"
"Layout","Оформление"
"Layout Update XML","XML за обновяване на оформлението"
"Link to a CMS Page","Връзка към CMS страница"
"Manage Pages","Управление на страници"
"Media Gallery","Media Gallery"
"Media Storage","Медийно хранилище"
"Meta Data","Мета данни"
"Meta Description","Мета описание"
"Meta Keywords","Мета ключови думи"
"New Block","Нов блок"
"New Folder Name:","Ново име на папка:"
"New Page","Нова страница"
"No files found","Не са намерени файлове"
"Page Information","Информация за страница"
"Page Layout","Оформление на страница"
"Page Status","Статус на страница"
"Page Title","Заглавие на страница"
"Pages","Страници"
"Product Tax Class Information","Информация за продуктов данъчен клас"
"Redirect to CMS-page if Cookies are Disabled","Пренасочи ктм CMS страница ако са деактивирани Cookies на браузъра"
"Relative to Website Base URL","Базово URL, релативно на уебсайта"
"Save Block","Запиши блока"
"Save Page","Запиши страницата"
"Save Process","Запиши процеса"
"Select Block...","Избор на блок..."
"Select Page...","Избор на страница..."
"Show Breadcrumbs for CMS Pages","Покажи път за CMS страници"
"Show Notice if JavaScript is Disabled","Покажи предупреждение ако деактивиран JavaScript"
"Static Blocks","Статични блокове"
"Status","Статус"
"Storage Root","Начало (root) на хранилище"
"Store View","Изглед"
"Template","Шаблон"
"The block has been deleted.","Блокът е изтрит."
"The block has been saved.","Блокът е записан."
"The directory %s is not writable by server.","Директорията %s няма права за писане от сървъра."
"The page URL key cannot consist only of numbers.","URL ключът на страницата не може да съдържа само числа."
"The page URL key contains capital letters or disallowed symbols.","URL за страницата съдържа главни букви или непозволени символи."
"The page has been deleted.","Страницата беше изтрита."
"The page has been saved.","Страницата беше записана."
"The static block content cannot contain  directive with its self.","The static block content cannot contain  directive with its self."
"This block no longer exists.","Този блок вече не съществува."
"This page no longer exists.","Тази страница вече не съществува."
"Title","Заглавие"
"URL Key","URL ключ"
"Unable to find a block to delete.","Заявения блок за изтриване не е намерен."
"Unable to find a page to delete.","Заявената страница за изтриване не е намерена."
"WYSIWYG Options","WYSIWYG опции"
"px.","пикс.."
