"Add","Добави"
"Add New Row","Добави нов ред"
"Add links and samples to downloadable product","Добави линкове и примери към продукти за сваляне"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","За имена на файлове се препоръчва употребата само на букви и цифри, тирета and долни черти. Некоректни символи се заместват с долна черта (\'_\')."
"An error occurred while getting requested content. Please contact the store owner.","Намерена е грешка при доставянето на заявеното съдържание. Моля свържете се със собственика на магазина."
"An error occurred while getting the requested content.","Намерена е грешка при доставянето на заявеното съдържание."
"An error occurred while getting the requested content. Please contact the store owner.","Намерена е грешка при доставянето на заявеното съдържание. Моля свържете се със собственика на магазина."
"An error occurred while saving the file(s).","Грешка при записване на файла/файловете."
"Availability:","Наличност:"
"Back","Обратно"
"Canceled","Отказан"
"Cannot connect to remote host, error: %s.","Невъзможна е връзката с отдалечения сървър. Грешка: %s."
"Catalog Product View (Downloadable)","Изглед на продукт (За сваляне)"
"Category API","Категория API"
"Customer My Account Downloadable Items","Моят профил - продукти за сваляне"
"Date","Дата"
"Default Link Title","Заглавие за линк по подразбиране"
"Default Maximum Number of Downloads","Максимален брой файлове за сваляне по подразбиране"
"Default Sample Title","Примерно заглавие по подразбиране"
"Delete","Изтрий"
"Disable Guest Checkout if Cart Contains Downloadable Items","Забрани разплащане като гост, ако количката съдържа продукти за сваляне"
"Downloadable Information","Информация за продукт за сваляне"
"Downloadable Product","Продукт за сваляне"
"Downloadable Product Options","Опции на продукт за сваляне"
"Downloadable product Section","Секция продукт за сваляне"
"Edit","Редактирай"
"Edit item parameters","Редактирай параметри"
"Excl. Tax","Без данък"
"File","Файл"
"From:","От:"
"Gift Message","Съобщение за подарък"
"Go to <a href=""%s"">My Downloadable Products</a>","Отидете на <a href=""%s"">Моите продукти за сваляне</a>"
"Guest checkout will only work with shareable.","Разплащане за гости ще работи само с възможни за споделяне."
"In stock","В наличност"
"Incl. Tax","С вкл. данък"
"Invalid download URL host.","Невалиден URL сървър за сваляне."
"Invalid download URL scheme.","Невалидна URL схема за сваляне."
"Invalid download link type.","Невалиден тип на връзка за сваляне."
"Invoiced","Фактурирани"
"Links can be purchased separately","Връзките могат да бъдат закупувани поотделно"
"List","Списък"
"Max. Downloads","Макс. сваляния"
"Message:","Съобщение:"
"Move to Wishlist","Премести в списък с желания"
"My Downloadable Products","Моите продукти за сваляне"
"Open Links in New Window","Отвори линкове в нов прозорец"
"Order #","Поръчка №"
"Order Item Status to Enable Downloads","Статус на поръчката за позволяване на сваляне"
"Order id cannot be null","Order id cannot be null"
"Order item id cannot be null","Order item id cannot be null"
"Ordered","Поръчано"
"Out of stock","Не е в наличност"
"Pending","В изчакване"
"Please log in to download your product.","Моля влезте в системата за изтегляне на Вашия продукт."
"Please set resource file and link type.","Моля определете ресурс файл и тип на връзката."
"Please specify product link(s).","Моля укажете линкове на продукт(и)."
"Price","Цена"
"Product downloadable links","Product downloadable links"
"Qty","Кол."
"Refunded","Сторнирано"
"Remaining Downloads","Оставащи сваляния"
"Remove","Премахни"
"Remove Item","Премахни"
"Remove links and samples from downloadable product","Премахни линкове и примери от продукти за сваляне"
"Requested link does not exist.","Заявения линк не съществува."
"Retrieve links and samples list from downloadable product","Получи списък с линкове и примери за продукт за сваляне"
"Sample","Пример"
"See price before order confirmation.","Виж цената преди потвърждение на поръчката"
"Shareable","Споделяем"
"Shipped","Изпратено"
"Sort Order","Начин на подреждане"
"Start Download","Стартирай сваляне"
"Status","Статус"
"The file does not exist.","Файлът не съществува."
"The link has expired.","Валидността на връзката е изтекла."
"The link is not available.","Връзката не е налична."
"Title","Заглавие"
"To:","До:"
"U","U"
"Unlimited","Неограничено"
"Use Content-Disposition","Use Content-Disposition"
"Use Default Value","Използвай стойност по подразбиране"
"View Order","Преглед на поръчка"
"What's this?","Какво е това?"
"You have not purchased any downloadable products yet.","Нямате закупени продукти за сваляне."
"attachment","прикачен файл"
"download","изтегляне"
"inline","вградено"
"sample","пример"
