"""Remember Me"" Default Value",""Remember Me" Default Value"
"(Not %s?)","(Not %s?)"
"* Required Fields","* Задължителни полета"
"Address","Адрес"
"Address Information","Информация за адрес"
"Already registered?","Имате регистрация?"
"Back","Обратно"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Чрез създаване на профил в нашия магазин, ще имате достъп до ускорен процес за потвърждаване на поръчките, ще можете да съхранявате множество адреси за доставка, да преглеждате и проследявате заявки и много други."
"Cannot load configuration from file %s.","Cannot load configuration from file %s."
"Checkout as Guest","Разплащане като гост"
"Checkout as a Guest or Register","Разплащане като гост или регистрация"
"City","Град"
"Clear Persistence on Log Out","Clear Persistence on Log Out"
"Close","Затвори"
"Company","Фирма"
"Confirm Password","Потвърди паролата"
"Continue","Продължи"
"Country","Държава"
"Create an Account","Създай профил"
"Easy access to your order history and status","Лесен достъп до исторя и статус на поръчка"
"Email Address","Имейл адрес"
"Enable ""Remember Me""","Enable "Remember Me""
"Enable Persistence","Enable Persistence"
"Fast and easy check out","Бързо и лесно разплащане"
"Fax","Факс"
"Forgot Your Password?","Забравили сте вашата парола?"
"Forgot your password?","Забравена парола?"
"General Options","Основни настройки"
"If you have an account with us, please log in.","Ако вече имате създаден профил, моля влезте в системата."
"Loading next step...","Зареждане на следваща стъпка ..."
"Login","Вход"
"Login Information","Информация за вход"
"Login or Create an Account","Вход или Създаване на нов профил"
"New Customers","Нови клиенти"
"Password","Парола"
"Persist Shopping Cart","Persist Shopping Cart"
"Persistence Lifetime (seconds)","Persistence Lifetime (seconds)"
"Persistent Shopping Cart","Persistent Shopping Cart"
"Personal Information","Лична информация"
"Please log in below:","Моля, влезте в систаемата"
"Please select region, state or province","Моля изберете област"
"Register","Регистрация"
"Register and save time!","Регистрирайте се и спестете време!"
"Register to Create an Account","Регистрирате се за да създадете потребителски профил"
"Register with us for future convenience:","Register with us for future convenience:"
"Registered Customers","Регистрирани клиенти"
"Remember Me","Запомни ме"
"Save in address book","Запиши в адресната книга"
"Select State/Province...","Изберете област ..."
"Select a billing address from your address book or enter a new address.","Изберете адрес за плащане от адресната книга или въведете нов."
"Ship to different address","Изпращане до различен адрес"
"Ship to this address","Изпращане до този адрес"
"Sign Up for Newsletter","Абониране за бюлетин"
"State/Province","Област/Община"
"Street Address","Улица"
"Street Address %s","Улица %s"
"Submit","Добави"
"Telephone","Телефон"
"Welcome, %s!","Здравей, %s!"
"What\'s this?","Какво е това?"
"Zip/Postal Code","Пощ. код"
