"%s is available for purchase in increments of %s only.","%s is available for purchase in increments of %s only."
"%s is not a correct comparsion method.","%s е невалиден метод за сравняване."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Внимание</strong>, настройките са приложими само за артикули от количката, не за цялата количка."
"Add Minimum Qty","Добави минимално количество"
"Allow Qty Below 0","Позволи количества под 0"
"Allow Qty Below 0 and Notify Customer","Позволи количества под 0 и уведоми клиента"
"Automatically Return Credit Memo Item to Stock","Автоматично добави кредитно известие към Налични количества"
"Backorders","Върнати поръчки"
"By Fixed value","По фиксирана стойност"
"By Percentage","По процент"
"Cannot specify product identifier for the order item.","Не може да бъде посочен идентификатор на продукта за поръчания артикул."
"Catalog Inventory","Каталожен Инвентар"
"Decrease Stock When Order is Placed","Намали налични количества при поръчка"
"Enable Qty Increments","Разреши увеличавания на количествата"
"In Stock","В наличност"
"Index Product Stock Status","Индексиране на сатус налични количества"
"Inventory","Инвентар"
"Inventory API","Инвентар API"
"Inventory Section","Сектор Инвентар"
"Manage Stock","Управление Налични количества"
"Maximum Qty Allowed in Shopping Cart","Максимално количество, разрешено в количката"
"Minimum Qty","Минимално количество"
"Minimum Qty Allowed in Shopping Cart","Минимално количество, разрешено в количката"
"No Backorders","Без върнати поръчки"
"Not all products are available in the requested quantity","Не всички продукти са налични в заявеното количество"
"Notify for Quantity Below","Извести за количества под"
"Only X left Threshold","Само праг Х налични"
"Out of Stock","Не е в наличност"
"Product Stock Options","Опции за наличност на продукта"
"Qty Increments","Увеличения на количество"
"Qty for Item's Status to Become Out of Stock","Кол. за промяна статуса на артикула на неналичен"
"Retrieve stock data","Извличане на данни за налични количества"
"Retrieve stock data by product ids","Извличане на данни за налични количества по ID на продукти"
"Rule price","Цена според Правило"
"Set Items' Status to be In Stock When Order is Cancelled","Статус налични количества на артикулите да се промени на В наличност при анулиране на поръчка"
"Some of the products cannot be ordered in the requested quantity.","Някои от продуктите не могат да бъдат поръчани в заявените количества."
"Stock Options","Опции за налични количества"
"Stock Status","Статус Налични количества"
"The stock item for Product in option is not valid.","Статус Налични количества в опциите на продукта е невалиден."
"The stock item for Product is not valid.","Статус Налични количества на продукта е невалиден."
"This product is available for purchase in increments of %s only.","Този продукт е валиден за покупка само в количество над %s."
"To Fixed Value","Към фиксирана стойност"
"To Percentage","Към процент"
"Undefined product type.","Недефиниран тип на продукта."
"Update","Обнови"
"Update product stock data","Обнови Налични количества на продукта"
"Update the Product","Обнови продукта"
