"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping"
"%1$s has been updated in your wishlist.","%1$s has been updated in your wishlist."
"%d product(s) have been added to shopping cart: %s.","%d бяха добавени в количката: %s."
"%s for ""%s"".","%s за %s"
"%s's Wishlist","Списък желание на %s"
"* Required Fields","* Задължителни полета"
"Add All to Cart","Добави всички в количка"
"Add to Cart","Купи"
"Add to Compare","Добави за сравнение"
"Add to Wishlist","Добави към списък с желания"
"Added From","Добавена форма"
"Added On","Добавено на"
"An error occurred while adding item to wishlist.","An error occurred while adding item to wishlist."
"An error occurred while adding item to wishlist: %s","Възникна грешка при добавянето на продукт към списък желания: %s"
"An error occurred while deleting the item from wishlist.","An error occurred while deleting the item from wishlist."
"An error occurred while deleting the item from wishlist: %s","Възникна грешка при изтриване на продукт от списък желания: %s"
"An error occurred while updating wishlist.","An error occurred while updating wishlist."
"Are you sure you want to remove this product from your wishlist?","Сигурен ли сте, че искате да премахнете този продукт от Вашия списъка с желания?"
"Are you sure you would like to remove this item from the wishlist?","Сигурен ли сте, че искате да премахнете този продукт от списъка с желания?"
"Back","Обратно"
"Can\'t delete item from wishlist","Can\'t delete item from wishlist"
"Can\'t save description %s","Невъзможно е записване на описание %s"
"Can\'t update wishlist","Невъзможно е обновяване на списък желания"
"Cannot add item to shopping cart","Невъзможно е добавянето на продукт в количка"
"Cannot add the item to shopping cart.","Невъзможно е добавянето на продукта в количката."
"Cannot configure product","Cannot configure product"
"Cannot create wishlist.","Невъзможно е създаването на списък желания."
"Cannot load wishlist item","Cannot load wishlist item"
"Cannot specify product.","Невъзможно е определянето на продукт."
"Cannot specify wishlist item.","Cannot specify wishlist item."
"Cannot specify wishlist.","Невъзможно е определянето на списък желания."
"Cannot update wishlist","Невъзможно е обновяването на списък желания"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Отметнете тук ако искате да добавите линк към rss бюлетин към Вашия списък желания."
"Click for price","Кликни за цена"
"Comment","Коментар"
"Comment:","Коментар:"
"Configure Wishlist Item","Configure Wishlist Item"
"Configured Price:","Configured Price:"
"Customer My Account My Wishlist","Клиент - Моят профил - Моят списък желания"
"Customer My Account Wishlist Sharing Form","Форма за споделяне на списък желания"
"Customer Shared Wishlist View","Изглед на споделен списък желания"
"Date Added","Дата на добавяне"
"Days in Wishlist","Дни в списък с желания"
"Display Wishlist Summary","Display Wishlist Summary"
"Edit","Редактирай"
"Email Sender","Имейл подател"
"Email Template","Имейл шаблон"
"Email address can\'t be empty.","Имейл адресът не може да е празен."
"Email addresses, separated by commas","Имейл адреси, разделени със запетайки"
"Enabled","Активиран"
"General Options","Основни настройки"
"Go to Wishlist","Към списък желания"
"Helper for wishlist options rendering doesn't implement required interface.","Helper for wishlist options rendering doesn't implement required interface."
"Last Added Items","Последно добавени продукти"
"Message","Съобщение"
"My Wishlist","Моят списък с желания"
"My Wishlist (%d item)","Моят списък с желания (%d продукт)"
"My Wishlist (%d items)","Моят списък с желания (%d продукта)"
"My Wishlist <small>(%d)</small>","Моят списък с желания <small>(%d)</small>"
"My Wishlist Link","My Wishlist Link"
"Options Details","Options Details"
"Out of stock","Не е в наличност"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com."
"Please input a valid email address.","Please input a valid email address."
"Please, enter your comments...","Моля въведете Вашите коментари..."
"Product","Продукт"
"Product(s) %s have required options. Each of them can be added to cart separately only.","Product(s) %s have required options. Each of them can be added to cart separately only."
"RSS Feed","RSS бюлетин"
"RSS link to %s's wishlist","RSS линк към списък с желания на %s"
"Remove Item","Премахни"
"Remove This Item","Премахни този продукт"
"Remove item","Премахни"
"Share Options","Опции за споделяне"
"Share Wishlist","Споделяне на списък с желания"
"Share Your Wishlist","Споделете Вашия списък с желания"
"Sharing Information","Информация за споделяне"
"This product(s) is currently out of stock","Продуктът/продуктите не са в наличност към този момент"
"Unable to add the following product(s) to shopping cart: %s.","Невъзможно е добавянето на следния продукт(и) в количката: %s."
"Update Wishlist","Обнови списък с желания"
"User description","Потребителско описание"
"View Details","Преглед"
"View Product","Преглед на продукт"
"What's this?","Какво е това?"
"Wishlist","Списък с желания"
"Wishlist Section","Секция списък с желания"
"Wishlist Sharing","Споделяне на списък с желания"
"Wishlist is empty now.","Списъкът с желания е празен сега."
"You have no items in your wishlist.","Нямате продукти във Вашия списък с желания."
"Your Wishlist has been shared.","Your Wishlist has been shared."
