"Add","Добави"
"Add gift message for shopping cart","Add gift message for shopping cart"
"Add gift messages for quote item of shopping cart","Add gift messages for quote item of shopping cart"
"Add gift messages to products of shopping cart","Add gift messages to products of shopping cart"
"Add gift options","Add gift options"
"Add gift options for Individual Items","Add gift options for Individual Items"
"Add gift options for the Entire Order","Add gift options for the Entire Order"
"Add gift options.","Add gift options."
"Allow Gift Messages for Order Items","Позволи съобщения за подарък на поръчките."
"Allow Gift Messages on Order Level","Позволи съобщения за подарък на ниво поръчка"
"An error occurred while saving the gift message.","Грешка при записване на съобщение за подарък."
"Are you sure?","Сигурен ли сте?"
"Cancel","Отказ"
"Do you have any gift items in your order?","Имате ли продукт за подарък във Вашата поръчка?"
"Edit","Редактирай"
"From","От"
"Gift Message","Съобщение за подарък"
"Gift Message API","Gift Message API"
"Gift Options","Gift Options"
"Gift Options for","Gift Options for"
"Gift Options for Individual Items","Gift Options for Individual Items"
"Gift Options for the Entire Order.","Gift Options for the Entire Order."
"Gift Options for this address.","Gift Options for this address."
"Item %d of %d","Продукт %d от %d"
"Message","Съобщение"
"No","Не"
"OK","ОК"
"Save Gift Message","Запиши съобщение за подарък"
"The gift message has been removed","Съобщението за подарък беше премахнато"
"The gift message has been saved","Съобщението за подарък беше записано"
"The gift message has been saved.","Съобщението за подарък беше записано."
"To","До"
"Unknown entity type","Непознат тип на единица информация"
"Use config","Използвай конфигурация"
"Yes","Да"
"You can leave this box blank if you do not wish to add a gift message for the item.","Можете да оставите това поле празно, ако не желаете да добавите съобщение за подарък за този продукт."
"You can leave this box blank if you do not wish to add a gift message for this address.","Можете да оставите това поле празно, ако не желаете да добавите съобщение за подарък за този адрес."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Можете да оставите това поле празно, ако не желаете да добавите съобщение за подарък за цялата поръчка."
